1.000000000000000056e-01	3.370861038298444121e-04
2.999999999999999889e-01	1.011258005524484638e-03
5.000000000000000000e-01	1.685428682700093606e-03
6.999999999999999556e-01	2.096183742560148080e-03
9.000000000000000222e-01	3.080541759958623817e-03
1.100000000000000089e+00	1.745291390870236381e-02
1.300000000000000044e+00	3.767897810749680498e-02
1.500000000000000000e+00	6.233360495796862188e-02
1.699999999999999956e+00	9.094303595774790028e-02
1.899999999999999911e+00	1.237818709090752617e-01
2.100000000000000089e+00	1.572755248511039650e-01
2.299999999999999822e+00	1.895625481344352103e-01
2.500000000000000000e+00	2.202345108715758060e-01
2.700000000000000178e+00	2.492184785213302778e-01
2.899999999999999911e+00	2.764847839147956399e-01
3.100000000000000089e+00	3.015701148933609410e-01
3.299999999999999822e+00	3.242363495671621854e-01
3.500000000000000000e+00	3.446304602146521567e-01
3.700000000000000178e+00	3.629736086856812372e-01
3.899999999999999911e+00	3.796085165541140949e-01
4.099999999999999645e+00	3.948406979989651511e-01
4.299999999999999822e+00	4.089537251048082078e-01
4.500000000000000000e+00	4.222222409749881722e-01
4.700000000000000178e+00	4.348461268596785501e-01
4.900000000000000355e+00	4.469691827193911227e-01
5.099999999999999645e+00	4.587689454091549157e-01
5.299999999999999822e+00	4.704299940241176703e-01
5.500000000000000000e+00	4.821214748227964364e-01
5.700000000000000178e+00	4.939410609961231713e-01
5.900000000000000355e+00	5.059261315741070408e-01
6.099999999999999645e+00	5.181619640557559858e-01
6.299999999999999822e+00	5.306534080438778389e-01
6.500000000000000000e+00	5.433333872800583109e-01
6.700000000000000178e+00	5.561510761097829825e-01
6.900000000000000355e+00	5.690346251890116003e-01
7.099999999999999645e+00	5.818866578159626046e-01
7.299999999999999822e+00	5.946587151063439380e-01
7.500000000000000000e+00	6.073305482091184704e-01
7.700000000000000178e+00	6.199527768314694320e-01
7.900000000000000355e+00	6.326504093336073886e-01
8.099999999999999645e+00	6.456221160595899677e-01
8.300000000000000711e+00	6.591624793976138541e-01
8.500000000000000000e+00	6.736180610451688588e-01
8.699999999999999289e+00	6.893687199065083870e-01
8.900000000000000355e+00	7.066920549460258272e-01
9.099999999999999645e+00	7.257596614788087708e-01
9.300000000000000711e+00	7.466975965955670036e-01
9.500000000000000000e+00	7.697103172140672411e-01
9.699999999999999289e+00	7.950982517392907178e-01
9.900000000000000355e+00	8.229424488626501111e-01
1.009999999999999964e+01	8.531862533179077612e-01
1.030000000000000071e+01	8.858479761309367984e-01
1.050000000000000000e+01	9.207457742778326626e-01
1.069999999999999929e+01	9.571903322058890051e-01
1.090000000000000036e+01	9.943976674989404296e-01
1.109999999999999964e+01	1.031773231317637984e+00
1.130000000000000071e+01	1.069156933657704256e+00
1.150000000000000000e+01	1.106540662072163395e+00
1.169999999999999929e+01	1.143924395490387047e+00
1.190000000000000036e+01	1.181308131766029890e+00
